credit_code,category,question,answer
PRE-1,PRE,Overall Rating,Platinum
PRE-1,PRE,Overall Score,85.99
PRE-1,PRE,Submission Date,"March 5, 2026"
PRE-2,PRE,Overall Rating,Platinum
PRE-2,PRE,Overall Score,85.99
PRE-2,PRE,Submission Date,"March 5, 2026"
PRE-3,PRE,Overall Rating,Platinum
PRE-3,PRE,Overall Score,85.99
PRE-3,PRE,Submission Date,"March 5, 2026"
PRE-4,PRE,Overall Rating,Platinum
PRE-4,PRE,Overall Score,85.99
PRE-4,PRE,Submission Date,"March 5, 2026"
AC-1,AC,Overall Rating,Platinum
AC-1,AC,Overall Score,85.99
AC-1,AC,Submission Date,"March 5, 2026"
AC-2,AC,Overall Rating,Platinum
AC-2,AC,Overall Score,85.99
AC-2,AC,Submission Date,"March 5, 2026"
AC-2,AC,BSc (Midwifery),"Includes the module NU4115 (Healthcare and the UN Sustainable Development Goals) which covers topics such as: Waste management in clinical settings, Aprons and Gloves: usage and overuse, Food Waste in hospitals, Energy and Water usage in healthcare, Single Use plastics in healthcare"
AC-2,AC,BA (Geographical and Archaeological Sciences),"Geography and Archaeology are closely related disciplines, concerned with concepts of time and space in relation to human culture and landscape. This BA offers a broad foundation in both, with relevant teaching in the areas of computer science, earth science and environmental science."
AC-2,AC,BA (World Languages),"The programme aims to produce graduates with sought-after language skills, as well as an understanding of language as a system and of the cultures of the languages studied."
AC-2,AC,BEd (Science Education),"UCC’s Science Education programme is an example of the concurrent model of teacher training which means that you study both science and education over the duration of the programme. Modules covered include ""Habitats and Ecosystems"" and ""Microbiology in Society""."
AC-2,AC,BA Irish Cultural Studies,UCC’s Science Education programme is an example of the concurrent model of teacher training which means that you study both science and education over the duration of the programme.
AC-2,AC,BA Economics (International),"Students are exposed to a range of topics critical to our understanding of the modern world including Environmental Economics and Sustainability, Financial Economics, Health Economics, Regional and Urban Economics and Sports Economics."
AC-2,AC,BA Folklore,"Ireland has one of the world's largest folklore archives. Folklore has been a vital aspect of Irish identity for hundreds of years, contributing to its literature, history and culture. Folklore, however, is not just in the past or in the countryside, it’s also in the contemporary world and in cities. It remains a significant element in the ongoing cultural process of popular traditions and expressions. Folklore at UCC introduces the main areas of the discipline, such as narratives, stories, festivals, rituals, tools, technologies and material culture, before developing the theories, ideas and methods of Folklore, including the theories of fieldwork, original research, archives and community identity."
AC-2,AC,BA Philosophy,"Philosophy at UCC has particular strengths in moral and political philosophy, as well as in philosophy of mind, body and action. Its greatest strength, however, is its commitment to pluralism and interdisciplinarity, which combines these fields with research and teaching in Aesthetics; Comparative Continental European and Asian Philosophy; Philosophy of Science; Philosophy of Economics; and Metaphysics and Epistemology."
AC-2,AC,BA Politics,"Includes modules on topics such as Citizen Participation, Conflict and Conflict Resolution, Feminist Philosophy, Global Political Economy,Institutions of the EU, Model European Union, Philosophy of Knowledge, The European Union and the International System, USA Politics; Violence and War Women, Gender and Politics"
AC-2,AC,BSC (Architecture),"This degree explores new ways of living, investigates new technologies and materials, and strives to ensure that new buildings, towns and landscapes are environmentally sustainable. It combines art, science and technology in the design and construction of buildings and their surroundings within a sociocultural context. Architects are engaged in all aspects and creating the built environment from feasibility studies, outline and detailed design, through planning, to construction and management."
AC-2,AC,BSc Food Marketing and Entrepreneurship,"Includes modules such as Introduction to Sustainable Food Marketing Channels and Supply Chains, Public Health Nutrition, Global Food Policy, Global Food Supply Chain Management and Circular Economy."
AC-2,AC,BSc International Business with languages,Modules include the following: International Business; the International Economy; Analytics for International Business; Sustainability in International Businesses; Responsible Leadership and Communication.
AC-2,AC,BE (Hons) (Process and Chemical) Engineering,"Process and Chemical engineering helps provide a pathway towards meeting societal requirements around health and wellbeing, energy provision, food production, water supply, waste management and consumer goods."
AC-2,AC,BSc Nutritional Science,"Learning outcomes include the ability to identify and critically evaluate emerging knowledge in nutrition and use this as a basis for developing novel approaches to solving challenges in industry, research/academia, government agencies, healthcare and other sectors;"
AC-2,AC,BSc Food Science,"Includes macro level issues such as developing new food products in order to meet the demands of society for high quality, safe, and nutritious food. Emerging challenges in food science include the nutritional needs and food preferences of health conscious consumers, elite athletes, and aging populations; the sustainability and environmental impact of food production; and the development of innovative technologies with potential applications in foods."
AC-3,AC,Overall Rating,Platinum
AC-3,AC,Overall Score,85.99
AC-3,AC,Submission Date,"March 5, 2026"
