credit_code,category,question,answer
PRE-1,PRE,Overall Rating,Platinum
PRE-1,PRE,Overall Score,86.76
PRE-1,PRE,Submission Date,"Feb. 19, 2025"
PRE-2,PRE,Overall Rating,Platinum
PRE-2,PRE,Overall Score,86.76
PRE-2,PRE,Submission Date,"Feb. 19, 2025"
PRE-3,PRE,Overall Rating,Platinum
PRE-3,PRE,Overall Score,86.76
PRE-3,PRE,Submission Date,"Feb. 19, 2025"
PRE-4,PRE,Overall Rating,Platinum
PRE-4,PRE,Overall Score,86.76
PRE-4,PRE,Submission Date,"Feb. 19, 2025"
AC-1,AC,Overall Rating,Platinum
AC-1,AC,Overall Score,86.76
AC-1,AC,Submission Date,"Feb. 19, 2025"
AC-2,AC,Overall Rating,Platinum
AC-2,AC,Overall Score,86.76
AC-2,AC,Submission Date,"Feb. 19, 2025"
AC-3,AC,Overall Rating,Platinum
AC-3,AC,Overall Score,86.76
AC-3,AC,Submission Date,"Feb. 19, 2025"
AC-4,AC,Overall Rating,Platinum
AC-4,AC,Overall Score,86.76
AC-4,AC,Submission Date,"Feb. 19, 2025"
AC-5,AC,Overall Rating,Platinum
AC-5,AC,Overall Score,86.76
AC-5,AC,Submission Date,"Feb. 19, 2025"
AC-6,AC,Overall Rating,Platinum
AC-6,AC,Overall Score,86.76
AC-6,AC,Submission Date,"Feb. 19, 2025"
AC-7,AC,Overall Rating,Platinum
AC-7,AC,Overall Score,86.76
AC-7,AC,Submission Date,"Feb. 19, 2025"
AC-8,AC,Overall Rating,Platinum
AC-8,AC,Overall Score,86.76
AC-8,AC,Submission Date,"Feb. 19, 2025"
EN-1,EN,Overall Rating,Platinum
EN-1,EN,Overall Score,86.76
EN-1,EN,Submission Date,"Feb. 19, 2025"
EN-2,EN,Overall Rating,Platinum
EN-2,EN,Overall Score,86.76
EN-2,EN,Submission Date,"Feb. 19, 2025"
EN-3,EN,Overall Rating,Platinum
EN-3,EN,Overall Score,86.76
EN-3,EN,Submission Date,"Feb. 19, 2025"
EN-4,EN,Overall Rating,Platinum
EN-4,EN,Overall Score,86.76
EN-4,EN,Submission Date,"Feb. 19, 2025"
EN-5,EN,Overall Rating,Platinum
EN-5,EN,Overall Score,86.76
EN-5,EN,Submission Date,"Feb. 19, 2025"
EN-6,EN,Overall Rating,Platinum
EN-6,EN,Overall Score,86.76
EN-6,EN,Submission Date,"Feb. 19, 2025"
EN-7,EN,Overall Rating,Platinum
EN-7,EN,Overall Score,86.76
EN-7,EN,Submission Date,"Feb. 19, 2025"
EN-8,EN,Overall Rating,Platinum
EN-8,EN,Overall Score,86.76
EN-8,EN,Submission Date,"Feb. 19, 2025"
EN-9,EN,Overall Rating,Platinum
EN-9,EN,Overall Score,86.76
EN-9,EN,Submission Date,"Feb. 19, 2025"
OP-1,OP,Overall Rating,Platinum
OP-1,OP,Overall Score,86.76
OP-1,OP,Submission Date,"Feb. 19, 2025"
OP-2,OP,Overall Rating,Platinum
OP-2,OP,Overall Score,86.76
OP-2,OP,Submission Date,"Feb. 19, 2025"
OP-3,OP,Overall Rating,Platinum
OP-3,OP,Overall Score,86.76
OP-3,OP,Submission Date,"Feb. 19, 2025"
OP-4,OP,Overall Rating,Platinum
OP-4,OP,Overall Score,86.76
OP-4,OP,Submission Date,"Feb. 19, 2025"
OP-5,OP,Overall Rating,Platinum
OP-5,OP,Overall Score,86.76
OP-5,OP,Submission Date,"Feb. 19, 2025"
OP-6,OP,Overall Rating,Platinum
OP-6,OP,Overall Score,86.76
OP-6,OP,Submission Date,"Feb. 19, 2025"
OP-7,OP,Overall Rating,Platinum
OP-7,OP,Overall Score,86.76
OP-7,OP,Submission Date,"Feb. 19, 2025"
OP-8,OP,Overall Rating,Platinum
OP-8,OP,Overall Score,86.76
OP-8,OP,Submission Date,"Feb. 19, 2025"
OP-9,OP,Overall Rating,Platinum
OP-9,OP,Overall Score,86.76
OP-9,OP,Submission Date,"Feb. 19, 2025"
OP-10,OP,Overall Rating,Platinum
OP-10,OP,Overall Score,86.76
OP-10,OP,Submission Date,"Feb. 19, 2025"
OP-11,OP,Overall Rating,Platinum
OP-11,OP,Overall Score,86.76
OP-11,OP,Submission Date,"Feb. 19, 2025"
OP-12,OP,Overall Rating,Platinum
OP-12,OP,Overall Score,86.76
OP-12,OP,Submission Date,"Feb. 19, 2025"
OP-13,OP,Overall Rating,Platinum
OP-13,OP,Overall Score,86.76
OP-13,OP,Submission Date,"Feb. 19, 2025"
OP-14,OP,Overall Rating,Platinum
OP-14,OP,Overall Score,86.76
OP-14,OP,Submission Date,"Feb. 19, 2025"
OP-15,OP,Overall Rating,Platinum
OP-15,OP,Overall Score,86.76
OP-15,OP,Submission Date,"Feb. 19, 2025"
PA-1,PA,Overall Rating,Platinum
PA-1,PA,Overall Score,86.76
PA-1,PA,Submission Date,"Feb. 19, 2025"
PA-2,PA,Overall Rating,Platinum
PA-2,PA,Overall Score,86.76
PA-2,PA,Submission Date,"Feb. 19, 2025"
PA-3,PA,Overall Rating,Platinum
PA-3,PA,Overall Score,86.76
PA-3,PA,Submission Date,"Feb. 19, 2025"
PA-4,PA,Overall Rating,Platinum
PA-4,PA,Overall Score,86.76
PA-4,PA,Submission Date,"Feb. 19, 2025"
PA-5,PA,Overall Rating,Platinum
PA-5,PA,Overall Score,86.76
PA-5,PA,Submission Date,"Feb. 19, 2025"
PA-6,PA,Overall Rating,Platinum
PA-6,PA,Overall Score,86.76
PA-6,PA,Submission Date,"Feb. 19, 2025"
PA-7,PA,Overall Rating,Platinum
PA-7,PA,Overall Score,86.76
PA-7,PA,Submission Date,"Feb. 19, 2025"
PA-8,PA,Overall Rating,Platinum
PA-8,PA,Overall Score,86.76
PA-8,PA,Submission Date,"Feb. 19, 2025"
PA-9,PA,Overall Rating,Platinum
PA-9,PA,Overall Score,86.76
PA-9,PA,Submission Date,"Feb. 19, 2025"
PA-10,PA,Overall Rating,Platinum
PA-10,PA,Overall Score,86.76
PA-10,PA,Submission Date,"Feb. 19, 2025"
PA-11,PA,Overall Rating,Platinum
PA-11,PA,Overall Score,86.76
PA-11,PA,Submission Date,"Feb. 19, 2025"
PA-12,PA,Overall Rating,Platinum
PA-12,PA,Overall Score,86.76
PA-12,PA,Submission Date,"Feb. 19, 2025"
PA-13,PA,Overall Rating,Platinum
PA-13,PA,Overall Score,86.76
PA-13,PA,Submission Date,"Feb. 19, 2025"
IL-1,IL,Overall Rating,Platinum
IL-1,IL,Overall Score,86.76
IL-1,IL,Submission Date,"Feb. 19, 2025"
IL-2,IL,Overall Rating,Platinum
IL-2,IL,Overall Score,86.76
IL-2,IL,Submission Date,"Feb. 19, 2025"
IL-3,IL,Overall Rating,Platinum
IL-3,IL,Overall Score,86.76
IL-3,IL,Submission Date,"Feb. 19, 2025"
IL-4,IL,Overall Rating,Platinum
IL-4,IL,Overall Score,86.76
IL-4,IL,Submission Date,"Feb. 19, 2025"
IL-5,IL,Overall Rating,Platinum
IL-5,IL,Overall Score,86.76
IL-5,IL,Submission Date,"Feb. 19, 2025"
IL-6,IL,Overall Rating,Platinum
IL-6,IL,Overall Score,86.76
IL-6,IL,Submission Date,"Feb. 19, 2025"
IL-7,IL,Overall Rating,Platinum
IL-7,IL,Overall Score,86.76
IL-7,IL,Submission Date,"Feb. 19, 2025"
IL-8,IL,Overall Rating,Platinum
IL-8,IL,Overall Score,86.76
IL-8,IL,Submission Date,"Feb. 19, 2025"
IL-9,IL,Overall Rating,Platinum
IL-9,IL,Overall Score,86.76
IL-9,IL,Submission Date,"Feb. 19, 2025"
IL-10,IL,Overall Rating,Platinum
IL-10,IL,Overall Score,86.76
IL-10,IL,Submission Date,"Feb. 19, 2025"
IL-11,IL,Overall Rating,Platinum
IL-11,IL,Overall Score,86.76
IL-11,IL,Submission Date,"Feb. 19, 2025"
IL-12,IL,Overall Rating,Platinum
IL-12,IL,Overall Score,86.76
IL-12,IL,Submission Date,"Feb. 19, 2025"
IL-13,IL,Overall Rating,Platinum
IL-13,IL,Overall Score,86.76
IL-13,IL,Submission Date,"Feb. 19, 2025"
IL-14,IL,Overall Rating,Platinum
IL-14,IL,Overall Score,86.76
IL-14,IL,Submission Date,"Feb. 19, 2025"
IL-15,IL,Overall Rating,Platinum
IL-15,IL,Overall Score,86.76
IL-15,IL,Submission Date,"Feb. 19, 2025"
IL-16,IL,Overall Rating,Platinum
IL-16,IL,Overall Score,86.76
IL-16,IL,Submission Date,"Feb. 19, 2025"
IL-17,IL,Overall Rating,Platinum
IL-17,IL,Overall Score,86.76
IL-17,IL,Submission Date,"Feb. 19, 2025"
IL-18,IL,Overall Rating,Platinum
IL-18,IL,Overall Score,86.76
IL-18,IL,Submission Date,"Feb. 19, 2025"
IL-19,IL,Overall Rating,Platinum
IL-19,IL,Overall Score,86.76
IL-19,IL,Submission Date,"Feb. 19, 2025"
IL-20,IL,Overall Rating,Platinum
IL-20,IL,Overall Score,86.76
IL-20,IL,Submission Date,"Feb. 19, 2025"
IL-21,IL,Overall Rating,Platinum
IL-21,IL,Overall Score,86.76
IL-21,IL,Submission Date,"Feb. 19, 2025"
IL-22,IL,Overall Rating,Platinum
IL-22,IL,Overall Score,86.76
IL-22,IL,Submission Date,"Feb. 19, 2025"
IL-23,IL,Overall Rating,Platinum
IL-23,IL,Overall Score,86.76
IL-23,IL,Submission Date,"Feb. 19, 2025"
IL-24,IL,Overall Rating,Platinum
IL-24,IL,Overall Score,86.76
IL-24,IL,Submission Date,"Feb. 19, 2025"
IL-25,IL,Overall Rating,Platinum
IL-25,IL,Overall Score,86.76
IL-25,IL,Submission Date,"Feb. 19, 2025"
IL-26,IL,Overall Rating,Platinum
IL-26,IL,Overall Score,86.76
IL-26,IL,Submission Date,"Feb. 19, 2025"
IL-27,IL,Overall Rating,Platinum
IL-27,IL,Overall Score,86.76
IL-27,IL,Submission Date,"Feb. 19, 2025"
IL-28,IL,Overall Rating,Platinum
IL-28,IL,Overall Score,86.76
IL-28,IL,Submission Date,"Feb. 19, 2025"
IL-29,IL,Overall Rating,Platinum
IL-29,IL,Overall Score,86.76
IL-29,IL,Submission Date,"Feb. 19, 2025"
IL-30,IL,Overall Rating,Platinum
IL-30,IL,Overall Score,86.76
IL-30,IL,Submission Date,"Feb. 19, 2025"
IL-31,IL,Overall Rating,Platinum
IL-31,IL,Overall Score,86.76
IL-31,IL,Submission Date,"Feb. 19, 2025"
IL-32,IL,Overall Rating,Platinum
IL-32,IL,Overall Score,86.76
IL-32,IL,Submission Date,"Feb. 19, 2025"
IL-33,IL,Overall Rating,Platinum
IL-33,IL,Overall Score,86.76
IL-33,IL,Submission Date,"Feb. 19, 2025"
IL-34,IL,Overall Rating,Platinum
IL-34,IL,Overall Score,86.76
IL-34,IL,Submission Date,"Feb. 19, 2025"
IL-35,IL,Overall Rating,Platinum
IL-35,IL,Overall Score,86.76
IL-35,IL,Submission Date,"Feb. 19, 2025"
IL-36,IL,Overall Rating,Platinum
IL-36,IL,Overall Score,86.76
IL-36,IL,Submission Date,"Feb. 19, 2025"
IL-37,IL,Overall Rating,Platinum
IL-37,IL,Overall Score,86.76
IL-37,IL,Submission Date,"Feb. 19, 2025"
IL-38,IL,Overall Rating,Platinum
IL-38,IL,Overall Score,86.76
IL-38,IL,Submission Date,"Feb. 19, 2025"
IL-39,IL,Overall Rating,Platinum
IL-39,IL,Overall Score,86.76
IL-39,IL,Submission Date,"Feb. 19, 2025"
IL-40,IL,Overall Rating,Platinum
IL-40,IL,Overall Score,86.76
IL-40,IL,Submission Date,"Feb. 19, 2025"
IL-41,IL,Overall Rating,Platinum
IL-41,IL,Overall Score,86.76
IL-41,IL,Submission Date,"Feb. 19, 2025"
IL-42,IL,Overall Rating,Platinum
IL-42,IL,Overall Score,86.76
IL-42,IL,Submission Date,"Feb. 19, 2025"
IL-43,IL,Overall Rating,Platinum
IL-43,IL,Overall Score,86.76
IL-43,IL,Submission Date,"Feb. 19, 2025"
IL-44,IL,Overall Rating,Platinum
IL-44,IL,Overall Score,86.76
IL-44,IL,Submission Date,"Feb. 19, 2025"
IL-45,IL,Overall Rating,Platinum
IL-45,IL,Overall Score,86.76
IL-45,IL,Submission Date,"Feb. 19, 2025"
IL-46,IL,Overall Rating,Platinum
IL-46,IL,Overall Score,86.76
IL-46,IL,Submission Date,"Feb. 19, 2025"
IL-47,IL,Overall Rating,Platinum
IL-47,IL,Overall Score,86.76
IL-47,IL,Submission Date,"Feb. 19, 2025"
IL-48,IL,Overall Rating,Platinum
IL-48,IL,Overall Score,86.76
IL-48,IL,Submission Date,"Feb. 19, 2025"
IL-49,IL,Overall Rating,Platinum
IL-49,IL,Overall Score,86.76
IL-49,IL,Submission Date,"Feb. 19, 2025"
IL-50,IL,Overall Rating,Platinum
IL-50,IL,Overall Score,86.76
IL-50,IL,Submission Date,"Feb. 19, 2025"
IL-51,IL,Overall Rating,Platinum
IL-51,IL,Overall Score,86.76
IL-51,IL,Submission Date,"Feb. 19, 2025"
IL-52,IL,Overall Rating,Platinum
IL-52,IL,Overall Score,86.76
IL-52,IL,Submission Date,"Feb. 19, 2025"
IL-53,IL,Overall Rating,Platinum
IL-53,IL,Overall Score,86.76
IL-53,IL,Submission Date,"Feb. 19, 2025"
IL-54,IL,Overall Rating,Platinum
IL-54,IL,Overall Score,86.76
